operator_company,well_name_number,api_number,job_type,address,longitude,latitude,date_stimulated,stimulated_formation,top_ft,bottom_ft,stimulation_stages,volume_value,volume_units,treatment_type,acid_percent,lbs_proppant,max_treatment_pressure_psi,max_treatment_rate_bbls_per_min,details
O.H. 2170' 21206' 02/03/12 02/21/12 MWD 21250',Jefferies 5301 43-12B,,,State IZip Code,,,12-09-249,Entry Point Coordinates From Well Head Bottom Hole Coordinates From Well Head,1968,,,49,,,,,9,5301,"Report of Work Done Date Work Completed Casing or Liner Acidizing D D Plug Well Fracture Treatment D D D Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date 0 Other Central production facility-commingle prod Well Name and Number 24-HOUR PRODUCTION RAT E (see details) Before After Footages L IQtr-Qtr I Section I Township I Range Oil Bbls Oil Bbls w | Plug Well Fracture Treatment D D D Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date 0 Other Central production facility-commingle prod Well Name and Number 24-HOUR PRODUCTION RAT E (see details) Before After Footages L IQtr-Qtr I Section I Township I Range Oil Bbls Oil Bbls w F L F 12 153 N 101 Water Bbls Water Bbls Field I Pool I County Gas MCF Gas MCF | Please find the following attachments:1. A schematic drawing of the facility which diagrms the testing, treating, routing, and transferring"
Telephone Number,lnnoko 5301 41-12T,,IA~id,hmccowan oasispetroleum.com,,,2013-12-15,MD(Ft) TVD (Ft) ~· Well Born Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,,,,90354,barrels,,,,11220,5301,"G'.:: Report of Work Done Date Work Completed D Casing or Liner D Acidizing December 15, 2013 D Plug Well D Fracture Treatment C Notice of Intent to Begin a Workover Project that may Qualify D Supplemental History D Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51 .1-03. D Temporarily Abandon D Reclamation Approximate Start Date D Other Well is now on pump Well Name and Number 24-HOUR PRODUCTION RATE lnnoko 5301 41-12T Before After Footages Qtr-Qtr Section Township Range Oil Bbls Oil Bbls w 250 F S L 2350 F E L SWSE 12 153 N 101 Water Bbls Water Bbls Fielcl Pool County Gas MCF Gas MCF Bakken McKenzie | D Plug Well D Fracture Treatment C Notice of Intent to Begin a Workover Project that may Qualify D Supplemental History D Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51 .1-03. D Temporarily Abandon D Reclamation Approximate Start Date D Other Well is now on pump Well Name and Number 24-HOUR PRODUCTION RATE lnnoko 5301 41-12T Before After Footages Qtr-Qtr Section Township Range Oil Bbls Oil Bbls w 250 F S L 2350 F E L SWSE 12 153 N 101 Water Bbls Water Bbls Fielcl Pool County Gas MCF Gas MCF Bakken McKenzie E 'e of Contractor"
"SLAWSON EXPLORATION COMPANY, INC",MAGNUM 1-36-25H,,,D,,,2013-12-11,Details,,10049.10,,49,,,,,4672,100,"Depth Inclination Azimuth Depth +N/-S +E/-W Section Rate (ft) (°) (°) (ft) (ft) (ft) (ft) (°/100ft) 9,506.00 0.44 263.55 9,505.25 10.02 23.24 11.31 0.00 Tie On to Extreme Surveys 9,541.00 0.46 293.91 9,540.25 10.06 22.98 11.34 0.68 First Sperry MWD Survey 9,636.00 0.13 208.26 9,635.24 10.12 22.58 11.38 0.49 9,732.00 0.62 275.00 9,731.24 10.07 22.01 11.29 0.61 9,827.00 0.42 258.96 9,826.24 10.05 21.16 11.22 0.26 9,922.00 0.50 258.63 9,921.24 9.90 20.41 11.03 0.08 10,018.00 0.46 338.63 10,017.23 10.17 19.86 11.28 0.64 10,113.00 0.43 344.76 10,112.23 10.87 19.63 11.96 0.06 10,209.00 0.44 264.93 10,208.23 11.19 19.16 12.25 0.58 10,304.00 1.50 29.62 10,303.22 12.24 19.42 13.31 1.88 10,336.00 6.28 30.60 10,335.14 14.11 20.51 15.24 14.94 | Depth Inclination Azimuth Depth +N/-S +E/-W Section Rate (ft) (°) (°) (ft) (ft) (ft) (ft) (°/100ft) 11,963.00 89.14 8.67 10,809.28 1,271.33 579.18 1,301.97 4.20 12,057.00 89.91 5.64 10,810.06 1,364.58 590.89 1,395.74 3.33 12,152.00 90.03 1.94 10,810.11 1,459.36 597.17 1,490.72 3.90 12,183.00 90.43 0.74 10,809.99 1,490.35 597.89 1,521.70 4.08 12,246.00 89.66 0.31 10,809.94 1,553.34 598.47 1,584.63 1.40 12,309.00 89.69 359.95 10,810.29 1,616.34 598.61 1,6"
Telephone Number,MAGNUM 2-36-25H All of Sect 36 & 25,33-053-03944-00,Acid% Lbs Proppant Maximum Treatment Pressure (PSI) Maximum Treatment Rate (BBLS/Min),Date,,,2012-04-27,MD (Ft) TVD (Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cemen1,,,,22133,barrels,,,,500,752,"Open Hole/Perforated Top of Well Bore TD Kick-off Completion Interval (MD.Ft) Casing Date Perfd Date Isolation Sacks Weill Bore Drillers Depth Point - Type Window or Drilled Isolated Method Cement (MD Ft) (MD Ft) Top Bottom (MD Ft) - Latera!1 20728 Other 11104 20705 10282 11104 4/27/2012 4/30/2012 PKR - ~ - - - | Curren"" Producing Open Hole or Perforated lnterval(s), This Completion, Top and Bottom, (MD Ft) Name of Zone (If Different from Pool Name) 111 M' to 20705' Middle Bakken Date I/\ ell Completed (SEE INSTRUCTIONS) Producing Method Pumping-Size & Type of Pump Well Status (Producing or Shut-In) 211412013 Flowin Producin up a 7"" Casin Hours Tested Choke Size Oil (Bbls) Gas (MCF) Water (Bbls) Oil Gravity-AP! (Corr.) Disposition of Gas Production for Test 24 22 /64 752 753.504 218 42.0 ° Flared Flowin~ Tubing Pressure (PSI) Flowing Casing Pressure (PSI) Calculated Oil (Bbls) Gas (MCF) Water (Bbls) Gas-Oil Ratio 600 24-Hour Rate 752 753.504 218 1002 | Flowin~ Tubing Pressure (PSI) Flowing Casing Pressure (PSI) Calculated Oil (Bbls) Gas (MCF) Water (Bbls) Gas-Oil Ratio 600 24-Hour Rate 752 753.504 218 1002 | 600 24-Hour Rate 752 753.504 218 1002 | Date Stimulated Stimulated Formati"
"SLAWSON EXPLORATION COMPANY, INC",MAGNUM 3-36-25H,,,"1675 Broadway, Suite 1600,",,,2013-06-01,/ Zone: Proposed Top of Target From,,10125.20,5,9.4,to,,,,4658,100,"Type of Incident : Treater Popoff Field Name : BAKER County : MCKENZIE Section : 36 Township : 153 Range : 101 Quarter-Quarter : SE Quarter : SE Distance to nearest residence : 3380 Feet Distance to nearest water well : 3380 Feet Release Oil : 10 barrels Release Brine : 2 barrels Release Other : 0 barrels Recovered Oil : 8.5 barrels Recovered Brine : 1.5 barrels | Depth Inclination Azimuth Depth +N/-S +E/-W Section Rate (ft) (°) (°) (ft) (ft) (ft) (ft) (°/100ft) 10,260.00 0.30 208.70 10,258.85 -28.20 -51.04 -20.69 0.00 Tie-On to Weatherford Gyro Surveys @ 10260.00 ft. 10,306.00 1.62 296.19 10,304.84 -28.02 -51.68 -20.42 3.55 First Sperry MWD Survey @ 10306.00 ft. 10,338.00 7.05 305.96 10,336.74 -26.67 -53.68 -18.80 17.06 10,370.00 13.00 307.32 10,368.23 -23.33 -58.13 -14.86 18.61 10,401.00 17.32 308.65 10,398.15 -18.33 -64.51 -9.01 13.98 10,433.00 20.84 307.38 10,428.39 -11.90 -72.76 -1.48 11.08 10,465.00 24.02 307.63 10,457.96 -4.47 -82.44 7.25 9.94 10,497.00 27.23 307.09 10,486.81 3.93 -93.44 17.12 10.06 10,528.00 30.57 305.72 10,513.95 12.81 -105.51 27.62 10.98 10,560.00 33.88 306.47 10,541.01 22.87 -119.29 39.53 10.42 10,592.00 36.67 306.55 10,567.13 33.86 -134.14 52.51 8.72 | "
"Oasis Petroleum North America, LLC",Larrv 5301 44-128,,,State IZip Code,,,12-09-249,thicknesses expressed by gamma signatures in these,,,,467,bbls,,,,9,5301,"Report of Work Done Date Work Completed Casing or Liner Acidizing D D Plug Well Fracture Treatment D D D Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date 0 Other Central production facility-commingle prod Well Name and Number 24-HOUR PRODUCTION RAT E (see details) Before After Footages L IQtr-Qtr I Section I Township I Range Oil Bbls Oil Bbls w | Plug Well Fracture Treatment D D D Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date 0 Other Central production facility-commingle prod Well Name and Number 24-HOUR PRODUCTION RAT E (see details) Before After Footages L IQtr-Qtr I Section I Township I Range Oil Bbls Oil Bbls w F L F 12 153 N 101 Water Bbls Water Bbls Field I Pool I County Gas MCF Gas MCF | Please find the following attachments:1. A schematic drawing of the facility which diagrms the testing, treating, routing, and transferring"
OASIS PETROLEUM NORTH AMERICA LLC,ASH FEDERAL 5300 11-18T,,,or phone number,,,2015-01-06,,,,,9.7,,,,,500,,"Top (Ft) B o t t o m (Ft) S t i m u l a t i o n Stages ] V o l u m e U n i t s ! V o l u m e 1 0 / 2 6 / 2 0 1 2 T h r e e F o r k s 9 2 2 1 6 11101 20482 36 B a r r e l s T y p e T r e a t m e n t I L b s Proppant ' M a x i m u m T r e a t m e n t P r e s s u r e (PSI) ' M a x i m u m T r e a t m e n t R a t e (BBLS/Min) ' A c i d % i S a n d F r a c 3700348 9214 4 2 . 2 | I L b s Proppant ' M a x i m u m T r e a t m e n t P r e s s u r e (PSI) ' M a x i m u m T r e a t m e n t R a t e (BBLS/Min) ' A c i d % i S a n d F r a c 3700348 9214 4 2 . 2 D e t a i l s 1 0 0 m e s h - 1 4 4 , 7 7 7 40170 s a n d - 1,426,577 2 0 / 4 0 c e r a m i c - 2 , 128,994 I I l I I | Top (Ft) B o t t o m ( F t ) , S t i m u l a t i o n Stages ! V o l u m e U n i t s V o l u m e I I I T y p e T r e a ' . m e n t M a x i m u m T r e a t m e n t P r e s s u r e (PSI) M a x i m u m T r e a t m e n t R a t e (BBLS/Min) Lbs Proppant ! A c i d % D e t a i l s I I D a t e S t i m u l a t e d ! S t i m u l a t e d Formation | Lbs Proppant ! A c i d % D e t a i l s I I D a t e S t i m u l a t e d ! S t i m u l a t e d Formation Top (Ft) Bottom ( F t ) I S t i m u l a t i o n Stages ! V o l u m e Units ' V o l "
Telephone Number,Atlanta 14-6H,33-105-02719,Acid% Lbs Proppant Maximum Treatment Pressure (PSI) Maximum Treatment Rate (BBLS/Min),City State IZip Code,,,2014-06-04,MD (Ft) TVD (Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,,,,201,bbls,,,,2500,14,"Report of Work Done Date Work Completed Casing or Liner Acidizing June 4, 2014 D PlugWell D Fracture Treatment D Notice of Intent to Begin a Workover Project that may Qualify D Supplemental History Ill Change Production Method for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D Temporarily Abandon D Reclamation Approximate Start Date D Other Well Name and Number 24-HOUR PRODUCTION RATE Atlanta 14-6H Before After Footages IQtr-Qtr I Section I Township I Range Oil 201 Bbls Oil 161 Bbls w 495 F N L 1485 F W L NENW 6 153 N 101 Water 346 Bbls Water 268 Bbls | D PlugWell D Fracture Treatment D Notice of Intent to Begin a Workover Project that may Qualify D Supplemental History Ill Change Production Method for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D Temporarily Abandon D Reclamation Approximate Start Date D Other Well Name and Number 24-HOUR PRODUCTION RATE Atlanta 14-6H Before After Footages IQtr-Qtr I Section I Township I Range Oil 201 Bbls Oil 161 Bbls w 495 F N L 1485 F W L NENW 6 153 N 101 Water 346 Bbls Water 268 Bbls Field I Pool I County Gas 151 MCF Gas 180 MCF Baker Bakken Williams | Well Name and Number 24-HOUR PRODUCTION RATE Atlanta 14-6H Before After Foo"
Telephone Number,13-6H,33-105-02720,Acid % Lbs Proppant Maximum Treatment Pressure (PSI) Maximum Treatment Rate (BBLS/Min),I State Zip Code,103.728,48.109,2014-06-04,MD (Ft) TVD (Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,,,,98,bbls,,,,500,13,"Ill Report of Work Done Date Work Completed D Casing or Liner D Acidizing 4, 2014 June D Plug Well D Fracture Treatment D Notice of Intent to Begin a Workover Project that may Qualify D Supplemental History i;zJ Change Production Method for a Tax Exemption PursuaInt to NDCC Section 57-51.1-03. D Temporarily Abandon D Reclamation Approximate Start Date D Other Well Name and Number 24-HOUR PRODUCTION RATE 13-6H Atlanta Before After Footages IQtr-Qtr I Section I Township I Range Oil 98 Bbls Oil 79 Bbls w 495 F N L 1440 FW L NENW 6 I 1 53 N 101 Water 475 Bbls Water 367 Bbls | D Plug Well D Fracture Treatment D Notice of Intent to Begin a Workover Project that may Qualify D Supplemental History i;zJ Change Production Method for a Tax Exemption PursuaInt to NDCC Section 57-51.1-03. D Temporarily Abandon D Reclamation Approximate Start Date D Other Well Name and Number 24-HOUR PRODUCTION RATE 13-6H Atlanta Before After Footages IQtr-Qtr I Section I Township I Range Oil 98 Bbls Oil 79 Bbls w 495 F N L 1440 FW L NENW 6 I 1 53 N 101 Water 475 Bbls Water 367 Bbls Field I Pool County Gas 0 MCF Gas 0 MCF Baker Bakken Williams Name of Contractor(s) | Well Name and Number 24-HOUR PRODUCTION RATE "
!Telephone Number,Atlanta 12-6H I I I I,33-105-02721,,City State IZip Code,103.728,48.109,2014-06-03,MD(Ft) TVD (Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,,,,115,bbls,,,,500,12,"i;zJ Report of Work Done Date Work Completed 0 Casing or Liner D Acidizing June 3, 2014 O PlugWell D Fracture Treatment 0 Notice of Intent to Begin a Workover Project that may Qualify O Supplemental History Ill Change Production Method for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D Temporarily Abandon D Reclamation Approximate Start Date 0 Other Well Name and Number 24-HOUR PRODUCTION RATE Atlanta 12-6H I I I I Before After Footages Qtr-Qtr Section Township Range Oil 115 Bbls Oil 107 Bbls w 495 F N L 1395 F W L NENW 6 I1 53 N 101 Water 335 Bbls Water 259 Bbls Field I Pool County Gas 75 MCF Gas 57 MCF | O PlugWell D Fracture Treatment 0 Notice of Intent to Begin a Workover Project that may Qualify O Supplemental History Ill Change Production Method for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D Temporarily Abandon D Reclamation Approximate Start Date 0 Other Well Name and Number 24-HOUR PRODUCTION RATE Atlanta 12-6H I I I I Before After Footages Qtr-Qtr Section Township Range Oil 115 Bbls Oil 107 Bbls w 495 F N L 1395 F W L NENW 6 I1 53 N 101 Water 335 Bbls Water 259 Bbls Field I Pool County Gas 75 MCF Gas 57 MCF Baker Bakken Williams Name of Contractor(s) | "
"Continental Resources, Inc",ATLANTA 11-6H,33-105-02722,Acid % Lbs Proppant Maximum Treatment Pressure (PSI) Maximum Treatment Rate (BBLS/Min),lCity TState IZip Code,103.73,48.11,2014-06-03,MD (Ft) TVD (Ft) Well Bore Type of Plug Top (Ft) Bottom (Ft) Sacks Cement,,,,135,bbls,,,,500,604,"Report of Work Done Date Work Completed Casing or Liner Acidizing June 3, 2014 D O PlugWell Fracture Treatment 0 D Ill Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D 0 Temporarily Abandon Reclamation Approximate Start Date 0 Other Well Name and Number 24-HOUR PRODUCTION R-ATE - Atlanta 11-6H I | PlugWell Fracture Treatment 0 D Ill Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption Pursuant to NDCC Section 57-51.1-03. D 0 Temporarily Abandon Reclamation Approximate Start Date 0 Other Well Name and Number 24-HOUR PRODUCTION R-ATE - Atlanta 11-6H I Before After Footages IQtr-Qtr I Section I Township Range Oil 135 Bbls Oil 165 Bbls w | Open Hole/Perforated Top of Well Bore TD Kick-off Completion Interval (MD,Ft) Casing Date Perfd Date Isolation Sacks Well Bore Drillers Depth Point Type Window or Drilled Isolated Method Cement (MD Ft) (MD Ft) Top Bottom (MD Ft) Lal :eral1 19697 Perforations 10896 19697 9900 PRODUCTION Cu rrent Producing Open Hole or Perforated lnterval(s), This Completion, Top"
